ProductId;ProductNumber;ProductName;Groups;ProductType;ProductPriceType;ProductPrice;ProductStock;RelatedProducts;ProductShortDescription;ProductLongDescription;ProductImageSmall;ProductImageMedium;ProductImageLarge;Document;ProductPriceFrom;Color;Ancho;Fondo;Colocacion
PR033;PR033;Espejo CRAKELADO Negro;GR005,GR053,GR057;0;0;58;100;;Espejo de cristal crakelado en color Negro.<br>Medidas 80x50;<table><tr><td>Referencia</td><td>CRAKI002</td></tr><tr><td>Color</td><td>Negro</td></tr><tr><td>Ean</td><td>8435233824062</td></tr><tr><td>Marca</td><td>Atrezzo</td></tr><tr><td>Medidas</td><td>50 x 80 cm</td></tr></table>;/Images/Ecom/Gamma_ImagesProducts/PR033.jpg;/Images/Ecom/Gamma_ImagesProducts/PR033.jpg;/Images/Ecom/Gamma_ImagesProducts/PR033.jpg;;;Negro;50;;
PR034;PR034;Espejos con marco LOOK;GR005,GR051,GR058;0;0;37;100;;Espejos rectangulares LOOK marco arenado. Para colocar vertical o horizontal.<br>Medidas disponibles: 50x80 cm, 60x80 cm, 70x80 cm, 80x80 cm y 70x100 cm.;<table><tr><td>Referencia</td><td>00BPESP1</td></tr><tr><td>Marca</td><td>GAMMA TATTOM</td></tr></table>;/Images/Ecom/Gamma_ImagesProducts/PR034.jpg;/Images/Ecom/Gamma_ImagesProducts/PR034.jpg;/Images/Ecom/Gamma_ImagesProducts/PR034.jpg;;;;Otro;;
PR035;PR035;Aplique COSMO 20;GR006,GR052,GR059;0;0;79;100;;Aplique con luz LED COSMO 20. Aplique acabado cromo brillo y sistema de sujeción multienganche (para atornillar a madera, sobre espejo o camerino).<br>Consumo 6W. Temperatura 5700K Longitud 28,6 cm.;<table><tr><td>Referencia</td><td>APLTA070</td></tr><tr><td>Ean</td><td>8435233878881</td></tr><tr><td>Marca</td><td>GAMMA TATTOM</td></tr><tr><td>Tipo</td><td>LED</td></tr></table>;/Images/Ecom/Gamma_ImagesProducts/PR035.jpg;/Images/Ecom/Gamma_ImagesProducts/PR035.jpg;/Images/Ecom/Gamma_ImagesProducts/PR035.jpg;;;;20;;
PR036;PR036;Aplique PULSAR 45;GR006,GR053,GR055;0;0;72.5;100;;Aplique con luz LED PULSAR 45. Aplique acabado cromo brillo y sistema de sujeción multienganche (para atornillar a madera, sobre espejo o camerino).<br>Consumo 4,8W. Temperatura 6000K. Longitud 45 cm.;<table><tr><td>Referencia</td><td>APLTA020</td></tr><tr><td>Ancho</td><td>45 cm</td></tr><tr><td>Ean</td><td>8435233878836</td></tr><tr><td>Marca</td><td>GAMMA TATTOM</td></tr><tr><td>Tipo</td><td>LED</td></tr></table>;/Images/Ecom/Gamma_ImagesProducts/PR036.jpg;/Images/Ecom/Gamma_ImagesProducts/PR036.jpg;/Images/Ecom/Gamma_ImagesProducts/PR036.jpg;;;;45;;
PR037;PR037;Aplique PULSAR 60;GR006,GR051,GR056;0;0;82.5;100;;Aplique con luz LED PULSAR 60. Aplique acabado cromo brillo y sistema de sujeción multienganche (para atornillar a madera, sobre espejo o camerino).<br>Consumo 9,6W. Temperatura 5900K Longitud 60 cm.;<table><tr><td>Referencia</td><td>APLTA030</td></tr><tr><td>Ancho</td><td>60 cm</td></tr><tr><td>Ean</td><td>8435233878843</td></tr><tr><td>Marca</td><td>GAMMA TATTOM</td></tr><tr><td>Tipo</td><td>LED</td></tr></table>;/Images/Ecom/Gamma_ImagesProducts/PR037.jpg;/Images/Ecom/Gamma_ImagesProducts/PR037.jpg;/Images/Ecom/Gamma_ImagesProducts/PR037.jpg;;;;60;;
PR038;PR038;Aplique PULSAR 30;GR006,GR052,GR057;0;0;57.5;100;;Aplique con luz LED PULSAR 30. Aplique acabado cromo brillo y sistema de sujeción multienganche (para atornillar a madera, sobre espejo o camerino).<br>Consumo 4,8W. Temperatura 6400K. Longitud 30 cm.;<table><tr><td>Referencia</td><td>APLTA010</td></tr><tr><td>Ancho</td><td>30 cm</td></tr><tr><td>Ean</td><td>8435233878829</td></tr><tr><td>Marca</td><td>GAMMA TATTOM</td></tr><tr><td>Tipo</td><td>LED</td></tr></table>;/Images/Ecom/Gamma_ImagesProducts/PR038.jpg;/Images/Ecom/Gamma_ImagesProducts/PR038.jpg;/Images/Ecom/Gamma_ImagesProducts/PR038.jpg;;;;30;;
PR039;PR039;Lavabo CODIGO II 81x46 cm;GR008,GR053,GR058;0;0;86.5;100;;Lavabo de porcelana CODIGO II de 81x46 cm. Formas suaves y simples caracterizan esta serie.<br>Fabricado en porcelana. Gran resistencia a los impactos. Sin esquinas interiores que facilitan su limpieza. Dispone de prácticos espacios laterales para colocar tus accesorios de baño.<br>Fondo 46 cm, también disponible en fondo reducido de 39 cm.;<table><tr><td>Referencia</td><td>RAICO082</td></tr><tr><td>Ancho</td><td>81 cm</td></tr><tr><td>Color</td><td>Blanco</td></tr><tr><td>Ean</td><td>8435233830834</td></tr><tr><td>Fondo</td><td>46 cm</td></tr><tr><td>Marca</td><td>GAMMA RAIFEN</td></tr><tr><td>Medidas</td><td>81 x 46 cm</td></tr></table>;/Images/Ecom/Gamma_ImagesProducts/PR039.jpg;/Images/Ecom/Gamma_ImagesProducts/PR039.jpg;/Images/Ecom/Gamma_ImagesProducts/PR039.jpg;;;;80;;
PR040;PR040;Lavabo Railv28;GR008,GR051,GR059;0;0;139;100;;Lavabo Railv28;<table><tr><td>Referencia</td><td>RAILV028</td></tr><tr><td>Ean</td><td>8435233886091</td></tr><tr><td>Marca</td><td>RAIFEN</td></tr></table>;/Images/Ecom/Gamma_ImagesProducts/PR040.jpg;/Images/Ecom/Gamma_ImagesProducts/PR040.jpg;/Images/Ecom/Gamma_ImagesProducts/PR040.jpg;;;;;;
PR041;PR041;Lavabo SFERA;GR008,GR052,GR055;0;0;99.5;100;;Lavabo de porcelana SFERA, los lavabos con formas redondas son una tendencia cada vez más consolidada, aportan modernidad y confort.<br>Fabricado en porcelana. Para colocar sobre ecimera o suspendido (anclajes incluidos).<br>Lavabo de 46cm de ancho, 47cm de fondo y 16cm de alto.;<table><tr><td>Referencia</td><td>RAILV005</td></tr><tr><td>Ean</td><td>8435233807683</td></tr><tr><td>Marca</td><td>GAMMA RAIFEN</td></tr><tr><td>Medidas</td><td>46 x 47 x 16 cm</td></tr></table>;/Images/Ecom/Gamma_ImagesProducts/PR041.jpg;/Images/Ecom/Gamma_ImagesProducts/PR041.jpg;/Images/Ecom/Gamma_ImagesProducts/PR041.jpg;;;;;;
PR042;PR042;Lavabo PETRA Redondo;GR008,GR053,GR056;0;0;199;100;;Lavabo PETRA Redondo. Lavabo fabricado en mármol de color negro y textura mate. La elegancia de un lavabo contemporáneo de diseño atemporal que sabe combinar materiales nobles como el mármol para crear un estilo moderno en tu baño.<br>Medidas: 42cm diámetro y 14cm de altura.;<table><tr><td>Referencia</td><td>RAIPI010</td></tr><tr><td>Color</td><td>Negro</td></tr><tr><td>Ean</td><td>8435233877563</td></tr><tr><td>Marca</td><td>GAMMA RAIFEN</td></tr><tr><td>Medidas</td><td>42 cm diámetro</td></tr></table>;/Images/Ecom/Gamma_ImagesProducts/PR042.jpg;/Images/Ecom/Gamma_ImagesProducts/PR042.jpg;/Images/Ecom/Gamma_ImagesProducts/PR042.jpg;;;;;;
PR043;PR043;Lavabo CUME;GR008,GR051,GR057;0;0;83.5;100;;Lavabo CUME. Lavabo sobre encimera fabricado en porcelana. Medidas: 40x40 cm.;<table><tr><td>Referencia</td><td>RAILV027</td></tr><tr><td>Ean</td><td>8435233880822</td></tr><tr><td>Marca</td><td>GAMMA RAIFEN</td></tr></table>;/Images/Ecom/Gamma_ImagesProducts/PR043.jpg;/Images/Ecom/Gamma_ImagesProducts/PR043.jpg;/Images/Ecom/Gamma_ImagesProducts/PR043.jpg;;;;;;
PR044;PR044;Lavabo OVO;GR008,GR052,GR058;0;0;92.5;100;;Lavabo de porcelana OVO, los lavabos con formas redondas son una tendencia cada vez más consolidada, aportan modernidad y confort.<br>Fabricado en porcelana. Para colocar sobre encimera.<br>Lavabo de 39,3cm de ancho y 15,5 cm de alto.;<table><tr><td>Referencia</td><td>RAILV004</td></tr><tr><td>Ean</td><td>8435233804392</td></tr><tr><td>Marca</td><td>GAMMA RAIFEN</td></tr><tr><td>Medidas</td><td>39.3 x 39.3 x 15.5 cm</td></tr></table>;/Images/Ecom/Gamma_ImagesProducts/PR044.jpg;/Images/Ecom/Gamma_ImagesProducts/PR044.jpg;/Images/Ecom/Gamma_ImagesProducts/PR044.jpg;;;;;;
PR045;PR045;Lavabo PAM;GR008,GR053,GR059;0;0;79.5;100;;Lavabo de porcelana PAM. Lavabo suspendido de tamaño reducido y moderno diseño de lineas rectas.<br>Incluye el juego de anclajes.<br>Medidas: 32x38x15cm;<table><tr><td>Referencia</td><td>RAILV024</td></tr><tr><td>Ean</td><td>8435233877297</td></tr><tr><td>Marca</td><td>GAMMA RAIFEN</td></tr><tr><td>Medidas</td><td>32.5 x 28 x 14.5 cm</td></tr></table>;/Images/Ecom/Gamma_ImagesProducts/PR045.jpg;/Images/Ecom/Gamma_ImagesProducts/PR045.jpg;/Images/Ecom/Gamma_ImagesProducts/PR045.jpg;;;;;;
PR046;PR046;Lavabo suspendido DECO;GR008,GR051,GR055;0;0;119;100;;Lavabo suspendido DECO, con un diseño contemporaneo y de lineas suaves.<br>Esta serie se completa con Inodoro y Bidé. No incluye los anclajes.;<table><tr><td>Referencia</td><td>RDECO040</td></tr><tr><td>Colocación</td><td>Suspendido</td></tr><tr><td>Ean</td><td>8435233860930</td></tr><tr><td>Marca</td><td>GAMMA RAIFEN</td></tr></table>;/Images/Ecom/Gamma_ImagesProducts/PR046.jpg;/Images/Ecom/Gamma_ImagesProducts/PR046.jpg;/Images/Ecom/Gamma_ImagesProducts/PR046.jpg;;;;;;
PR047;PR047;Soporte para lavadero MURO;GR008,GR052,GR056;0;0;14.75;100;;Soporte para lavadero MURO, soporte metálico para lavadero MURO.<br>De fàcil instalación, únicamente dos taladros en la pared y atornillarlo.;<table><tr><td>Referencia</td><td>BPSOP002</td></tr><tr><td>Ean</td><td>8435233869421</td></tr><tr><td>Marca</td><td>GAMMA RAIFEN</td></tr><tr><td>Medidas</td><td>33 x 32.2 x 51.5 cm</td></tr></table>;/Images/Ecom/Gamma_ImagesProducts/PR047.jpg;/Images/Ecom/Gamma_ImagesProducts/PR047.jpg;/Images/Ecom/Gamma_ImagesProducts/PR047.jpg;;;;;;
PR048;PR048;Lavabo LOFT;GR008,GR053,GR057;0;0;114.5;100;;Lavabo de porcelana LOFT, su forma cuadrada y de lineas rectas aporta personalidad a éste lavabo. Fabricado en porcelana.<br>Para colocar sobre ecimera o suspendido (anclajes incluidos).<br>Lavabo de 46cm de ancho, 46cm de fondo y 14 cm de alto.;<table><tr><td>Referencia</td><td>RAILV001</td></tr><tr><td>Ean</td><td>8435233804378</td></tr><tr><td>Marca</td><td>GAMMA RAIFEN</td></tr><tr><td>Medidas</td><td>46 x 46 x 16 cm</td></tr></table>;/Images/Ecom/Gamma_ImagesProducts/PR048.jpg;/Images/Ecom/Gamma_ImagesProducts/PR048.jpg;/Images/Ecom/Gamma_ImagesProducts/PR048.jpg;;;;;;
PR049;PR049;Lavabo PETRA ovalado;GR008,GR051,GR058;0;0;389;100;;Lavabo PETRA Ovalado. Lavabo fabricado en mármol de color negro y textura mate.<br>La elegancia de un lavabo contemporáneo de diseño atemporal que sabe combinar materiales nobles como el mármol para crear un estilo moderno en tu baño.<br>Medidas: 50cm x 35cm x 13cm;<table><tr><td>Referencia</td><td>RAIPI030</td></tr><tr><td>Color</td><td>Negro</td></tr><tr><td>Ean</td><td>8435233877587</td></tr><tr><td>Marca</td><td>GAMMA RAIFEN</td></tr><tr><td>Medidas</td><td>50 x 35 x 13 cm</td></tr></table>;/Images/Ecom/Gamma_ImagesProducts/PR049.jpg;/Images/Ecom/Gamma_ImagesProducts/PR049.jpg;/Images/Ecom/Gamma_ImagesProducts/PR049.jpg;;;;;;
PR050;PR050;Lavabos BIANCO de 80cm a 140cm;GR008,GR052,GR059;0;0;219;100;;Lavabo BIANCO de 80cm y 100cm y con la posibilidad de escoger poza centrada, a derecha o izquierda.<br>La serie de lavabos BIANCO ha sido fabricada con MineralMarmo® una materia de última generación compuesto en un 75% de productos minerales naturales y un 25% de resina de poliéster.<br>Finalmente se recubre con una pelicula de Technical Coating que garantiza la resistencia de la pieza.;<table><tr><td>Referencia</td><td>00BIANC1</td></tr><tr><td>Marca</td><td>GAMMA RAIFEN</td></tr></table>;/Images/Ecom/Gamma_ImagesProducts/PR050.jpg;/Images/Ecom/Gamma_ImagesProducts/PR050.jpg;/Images/Ecom/Gamma_ImagesProducts/PR050.jpg;;;;;;
